WKT,Site_ID,Location,Lat,Long
POINT (-6.236443 53.362856),72,Fairview @ Fairview Strand (Edges Corner),53.362856,-6.236443
POINT (-6.229072 53.3641665),73,Fairview @ Malahide Rd / Howth Rd,53.3641665,-6.229072
POINT (-6.2918802 53.3666867),74,Faussagh Av @ Carnlough Rd,53.3666867,-6.2918802
POINT (-6.2453218 53.3410806),75,Fenian St @ Holles St,53.3410806,-6.2453218
POINT (-6.259113 53.356808),76,Gardiner Pl / Mountjoy Sq,53.356808,-6.259113
POINT (-6.234682657 53.33728663),77,Grand Canal St @ Haddington Rd,53.33728663,-6.234682657
POINT (-6.168162343 53.39110787),78,Grange Rd @ Kilbarrack Rd,53.39110787,-6.168162343
POINT (-6.24328512 53.37400216),80,Griffith Av @ Grace Park Rd,53.37400216,-6.24328512
POINT (-6.275594 53.329514),81,Harolds Cross Bridge,53.329514,-6.275594
POINT (-6.27912199 53.32166648),82,Harolds Cross Rd @ Leinster Rd,53.32166648,-6.27912199
POINT (-6.278056 53.326407),83,Harolds Cross Rd  @ Park,53.326407,-6.278056
POINT (-6.2789822 53.3186632),84,Harolds Cross Rd @ Rathgar Av,53.3186632,-6.2789822
POINT (-6.26831298 53.33246616),85,SCR @ Heytesbury St,53.33246616,-6.26831298
POINT (-6.194837575 53.37546251),86,Howth Rd @ Brookwood Av,53.37546251,-6.194837575
POINT (-6.2235609 53.3661254),87,Howth Rd @ Copeland Ave,53.3661254,-6.2235609
POINT (-6.17510658 53.38039654),88,Howth Rd @ Station Rd,53.38039654,-6.17510658
POINT (-6.16458493 53.37406085),90,James Larkin Rd @ Watermill Rd,53.37406085,-6.16458493
POINT (-6.2978193 53.3901965),91,Jamestown Rd / McKee Ave / Seamus Ennis Rd,53.3901965,-6.2978193
POINT (-6.223327707 53.33958909),92,Irishtown Rd @ Bath St,53.33958909,-6.223327707
POINT (-6.222511473 53.33792415),93,Irishtown Rd @ Londonbridge,53.33792415,-6.222511473
POINT (-6.266148 53.347604),94,Jervis St @ Abbey St  (LUAS),53.347604,-6.266148
POINT (-6.26667 53.348808),95,Jervis St @ Mary St,53.348808,-6.26667
POINT (-6.30900425 53.32533299),96,Kildare Rd @ Windmill Rd,53.32533299,-6.30900425
POINT (-6.290559 53.319471),97,Kimmage Rd Lower @ Sundrive Rd,53.319471,-6.290559
POINT (-6.2996643 53.3122977),98,KCR and Kimmage Rd/Ravensdale,53.3122977,-6.2996643
