_step,episode,train/epsilon,train/q_mean,train/q_abs_max,train/loss,train/grad_norm,train/pending_veh
720,1,0.8813933399577093,-0.26334791369694116,10.818251609802246,0.042878325008899425,0.05555582338248391,94
1440,2,0.8616774369886111,-0.3568582875447141,20.244674682617188,0.030832190054934473,0.06904258251241925,191
2160,3,0.8424290826649069,-0.37786493353131745,28.456518173217773,0.03336573716110757,0.07511933881323785,181
2880,4,0.8236371894023177,-0.40580138388193315,37.02241516113281,0.033595877978950736,0.08359880834403965,127
3600,5,0.8052909325507558,-0.43050462930566735,41.50804138183594,0.03680130288832718,0.09316735706395574,127
4320,6,0.7873797441590279,-0.4100477996178799,49.501319885253906,0.03885816793966417,0.0961649057507101,30
5040,7,0.7698933068874021,-0.4209359327538146,54.36678695678711,0.038991084249250386,0.10256854686886072,55
5760,8,0.7528215480645357,-0.3919474106281996,57.655433654785156,0.037821417601339315,0.10278971223678025,4
6480,9,0.7361546338853379,-0.3730922674967183,61.07398986816406,0.03865198084903467,0.10166829438466164,94
7200,10,0.7198829637464255,-0.3607334093708131,62.83802032470703,0.0371797590109054,0.10277400920684966,89
7920,11,0.7039971647159109,-0.3733921873900625,64.4016342163086,0.03617546654487443,0.10129224559706118,102
8640,12,0.6884880861343333,-0.37447007913142444,65.716796875,0.03541633605944096,0.10091135148993796,30
9360,13,0.6733467943436268,-0.3595491250562999,66.05894470214844,0.03592568941401421,0.10143622517999676,20
10080,14,0.6585645675410852,-0.35068060358365377,68.92816925048828,0.034702781356948736,0.099754520598799,20
10800,15,0.6441328907553635,-0.32047140904598764,74.6677474975586,0.03473675918196224,0.09988017158789766,35
11520,16,0.6300434509416185,-0.324814458253483,76.63388061523438,0.03614233035995211,0.10551288563551174,67
12240,17,0.616288132192965,-0.32673334723545444,76.90377807617188,0.03756146948111968,0.10622462775661713,8
12960,18,0.6028590110654896,-0.3103775642398331,80.69861602783203,0.03718783030506327,0.10444849071403345,0
13680,19,0.5897483520141273,-0.31382480040192606,75.33190155029297,0.0389541795826517,0.10635936785903242,0
14400,20,0.5769486029367742,-0.30548568160997497,83.50808715820312,0.037818327082398656,0.10852969997665948,45
15120,21,0.5644523908240673,-0.29455072823911904,83.63166809082031,0.036016037215530455,0.10568800969049334,87
15840,22,0.552252517512328,-0.2798241479529275,87.87246704101562,0.03366268131778472,0.0998047669728597,46
16560,23,0.5403419555372199,-0.2817814329432117,85.32925415039062,0.035527415277384636,0.10133854441034297,2
17280,24,0.5287138440857359,-0.25971076058016884,78.23938751220703,0.03300120233389963,0.09640141744166612,116
18000,25,0.5173614850441799,-0.22621548309301337,34.643310546875,0.027913510548468266,0.08985508343773997,6
18720,26,0.5062783391398676,-0.20655819793335264,38.0007209777832,0.026211660382169714,0.08402880157809704,1
19440,27,0.4954580221743256,-0.1977327870618966,41.35429763793945,0.026006428495424592,0.08149490980690138,51
20160,28,0.48489430134581596,-0.19160271282825206,22.247896194458008,0.02453657054413472,0.07919731355634414,9
20880,29,0.4745810916590701,-0.17756306752562523,22.628524780273438,0.022948938727818637,0.07476080495657192,0
21600,30,0.4645124524201632,-0.16534610869776872,23.64748764038086,0.02402712649167774,0.0733996185939759,35
22320,31,0.45468258381451065,-0.15391074838116764,19.855384826660156,0.021107495858127046,0.06869665755269429,58
23040,32,0.44508582356601417,-0.16199071885397037,48.539306640625,0.021544615898649984,0.07213803220074624,18
23760,33,0.4357166436754343,-0.14653606318558257,37.147483825683594,0.01968347444490064,0.06660135419677116,0
24480,34,0.4265696472361099,-0.14503843560814858,42.64580154418945,0.01956440581383908,0.0677635120253803,0
25200,35,0.41763956532519114,-0.15094301879612937,33.6341438293457,0.020012509974347066,0.06720817474027475,104
25920,36,0.4089212539685935,-0.1572535721688635,38.22710037231445,0.019312094328375273,0.06596141101068093,16
26640,37,0.4004096911779271,-0.163183648004714,43.17165756225586,0.020772944345501147,0.067600397967423,7
27360,38,0.39209997405769237,-0.15895178705039953,47.57847595214844,0.019102168371642216,0.06360690989531577,6
28080,39,0.38398731598107655,-0.16920790672302247,49.459991455078125,0.020009451769065992,0.06747988208404018,75
28800,40,0.3760670438327245,-0.16435638761354818,46.05886459350586,0.02014723041195086,0.06343564587231311,6
29520,41,0.3683345953168948,-0.15861581398381128,47.4714469909668,0.020647346009920714,0.06500306998172568,2
30240,42,0.3607855163294514,-0.1702884043359922,45.30146789550781,0.01973786479227581,0.06421552749298927,1
30960,43,0.3534154583921768,-0.16114331075093813,42.444950103759766,0.018629384359681152,0.06263559697092408,12
31680,44,0.3462201761479277,-0.16488318941038516,42.90685272216797,0.018721770483534784,0.06343798538566464,4
32400,45,0.3391955249151925,-0.16764168332641324,23.308086395263672,0.01770927167219472,0.061948434938676654,2
33120,46,0.3323374583006398,-0.1671368460274405,47.767242431640625,0.018055264583219672,0.061470082924804756,35
33840,47,0.3256420258682843,-0.15200411272752617,40.423091888427734,0.01729110628560496,0.05826519423216167,9
34560,48,0.319105370863926,-0.15903059240016673,46.7193489074707,0.018299752428235175,0.060813131401987956,1
35280,49,0.31272372799355336,-0.1604187277145684,47.64785385131836,0.018372382750062064,0.06279817636693931,4
36000,50,0.3064934212544302,-0.15765191378692786,43.769893646240234,0.01841282818705723,0.061596994962181066,5
36720,51,0.3004108618176158,-0.16201793785310453,47.81466293334961,0.018734318855664848,0.06347156387702045,1
37440,52,0.29447254596070077,-0.15536062492885525,48.38431930541992,0.018743808440275542,0.06375413626535899,0
38160,53,0.28867505304956587,-0.1523295312292046,49.30852508544922,0.018475592501797818,0.06189840463274676,1
38880,54,0.28301504356800206,-0.16296757771633566,53.47419357299805,0.018615704831204817,0.06277033493129744,5
