_step,episode,train/epsilon,train/q_mean,train/q_abs_max,train/loss,train/grad_norm,train/pending_veh
720,1,0.8813933399577093,-0.23654624805449093,10.951191902160645,0.039066913014513455,0.05014528114775039,93
1440,2,0.8616774369886111,-0.28250388112953967,20.854455947875977,0.022459500211860158,0.053960504569113256,197
2160,3,0.8424290826649069,-0.3315482519153092,29.40761947631836,0.022329762369756482,0.0604964105050183,200
2880,4,0.8236371894023177,-0.34482637972881397,37.28211212158203,0.022993731669460733,0.06836218340839777,98
3600,5,0.8052909325507558,-0.355471046641469,40.98818588256836,0.024187329447078,0.0743133548181504,71
4320,6,0.7873797441590279,-0.3682340933009982,51.540985107421875,0.026292575428831493,0.08137278431612584,14
5040,7,0.7698933068874021,-0.37780988644808533,58.812862396240234,0.027671054298601425,0.08587173359054658,22
5760,8,0.7528215480645357,-0.3813485223386023,63.409759521484375,0.028610431651274363,0.08873679968011049,4
6480,9,0.7361546338853379,-0.34762670213563573,67.81070709228516,0.02844110604362666,0.09104566554952827,76
7200,10,0.7198829637464255,-0.33911043972604804,72.76226806640625,0.028899059965301097,0.09096417860127985,70
7920,11,0.7039971647159109,-0.3198012595996261,78.08409118652344,0.029190334926695666,0.09240542902197275,49
8640,12,0.6884880861343333,-0.3158642763271928,79.11517333984375,0.027912643183177956,0.09280410991567704,12
9360,13,0.6733467943436268,-0.30643320300926763,78.7983169555664,0.027366864876562938,0.09056986175063583,29
10080,14,0.6585645675410852,-0.29366602081184584,80.35699462890625,0.026166257724010697,0.09196565800035993,34
10800,15,0.6441328907553635,-0.2723200918485721,83.45653533935547,0.025725472662209845,0.09068380981787211,9
11520,16,0.6300434509416185,-0.26034125257283447,86.201904296875,0.025759793525018417,0.08968876287755038,16
12240,17,0.616288132192965,-0.26047693563418256,87.22843933105469,0.025965392424647387,0.08990476642114421,12
12960,18,0.6028590110654896,-0.24952940418281488,91.32366943359375,0.0250108973058458,0.08768794063685668,0
13680,19,0.5897483520141273,-0.26296368201987613,88.17964935302734,0.02429605385372674,0.08588201004183954,32
14400,20,0.5769486029367742,-0.2580430088668234,97.35993194580078,0.026178446679841726,0.08912507587422927,7
15120,21,0.5644523908240673,-0.24954408961865637,95.4371109008789,0.024123614471560965,0.08521521475890445,17
15840,22,0.552252517512328,-0.2419685811218288,102.12606048583984,0.022073734029739476,0.08186072130014913,3
16560,23,0.5403419555372199,-0.24642820935696363,106.26898193359375,0.0227123821687807,0.08386733635949592,0
17280,24,0.5287138440857359,-0.24855725283010138,97.25605010986328,0.0227315453825415,0.08435271269538336,0
18000,25,0.5173614850441799,-0.22326485280775363,55.487430572509766,0.02142524897159698,0.07830642964690923,0
18720,26,0.5062783391398676,-0.235725688147876,67.18230438232422,0.022687860063484146,0.08320467446723746,0
19440,27,0.4954580221743256,-0.22969599339283175,68.39068603515625,0.023763008806983836,0.08437621707821058,1
20160,28,0.48489430134581596,-0.2204594791245957,30.21186637878418,0.02148168175998661,0.07895062211642248,3
20880,29,0.4745810916590701,-0.2266678712537719,29.540260314941406,0.021631354788809808,0.07735468053983317,0
21600,30,0.4645124524201632,-0.21795233310096793,28.7122859954834,0.020550339421606622,0.0745944277357517,18
22320,31,0.45468258381451065,-0.20070733968168497,25.868518829345703,0.019826248986646533,0.07210103402742081,1
23040,32,0.44508582356601417,-0.20332519558982717,27.77070426940918,0.019904134283812405,0.07104460194499956,0
23760,33,0.4357166436754343,-0.19635153846401307,26.64568328857422,0.018900266754725534,0.07032962481543008,0
24480,34,0.4265696472361099,-0.19289794711189137,16.257083892822266,0.019154625904694612,0.06951348849365281,4
25200,35,0.41763956532519114,-0.21114541481559476,133.77740478515625,0.02029489598224043,0.07712126255501062,45
25920,36,0.4089212539685935,-0.2098698811709053,193.75112915039062,0.021222897166606143,0.07850841474460644,0
26640,37,0.4004096911779271,-0.2203100739667813,177.01040649414062,0.021607436372950258,0.0805172801276462,0
27360,38,0.39209997405769237,-0.21182306202956372,158.30296325683594,0.019883791817766096,0.07607598919938836,2
28080,39,0.38398731598107655,-0.21577565735206009,165.53492736816406,0.021451698435379918,0.0811807439248595,9
28800,40,0.3760670438327245,-0.22824777552030154,175.2901611328125,0.024811650510269425,0.08285612457742293,1
29520,41,0.3683345953168948,-0.23972966964874004,181.3916015625,0.023781400050696296,0.08055741591896448,1
30240,42,0.3607855163294514,-0.2454358868300915,162.72276306152344,0.024802627661847508,0.08699768884366171,5
30960,43,0.3534154583921768,-0.24054314122638767,168.20054626464844,0.023348773303183003,0.08382914438843728,0
31680,44,0.3462201761479277,-0.2394467291318708,159.87646484375,0.025246657683682214,0.08882840812568449,0
32400,45,0.3391955249151925,-0.24224843872297142,170.0088653564453,0.027010852152145364,0.09010264405773746,71
33120,46,0.3323374583006398,-0.22887580901798274,165.83059692382812,0.02387158516180029,0.08758287893918654,0
33840,47,0.3256420258682843,-0.2295471969474521,151.77938842773438,0.02283166302529733,0.08775853822783877,0
34560,48,0.319105370863926,-0.24022660960132877,169.53294372558594,0.024917803751628123,0.09032881214904288,0
35280,49,0.31272372799355336,-0.239986089999891,169.04664611816406,0.025455830245078283,0.09029023760619263,0
36000,50,0.3064934212544302,-0.243664571032342,161.81597900390625,0.026377941485164532,0.09183671094166736,0
36720,51,0.3004108618176158,-0.25063870448826087,162.998046875,0.028216192489425237,0.09334233589470387,0
37440,52,0.29447254596070077,-0.2426305260302292,162.10888671875,0.026499490624862825,0.09376964556932864,0
38160,53,0.28867505304956587,-0.22701281674413218,156.35919189453125,0.028246751843188474,0.09120048832200053,99
38880,54,0.28301504356800206,-0.23686804518931442,156.04885864257812,0.026994841567809798,0.08964983602571819,0
39600,55,0.27748925719405704,-0.24418320193265874,146.22557067871094,0.02680927801346924,0.09105548011397736,0
40320,56,0.27209451092199954,-0.22992245569411252,154.72811889648438,0.025227286603088334,0.09041899162758556,4
41040,57,0.2668276972288201,-0.23383653521951703,160.3247833251953,0.02591118963706928,0.09125521749568483,1
41760,58,0.2616857822842117,-0.2224449993421634,156.53201293945312,0.02552931798919518,0.0900379478931427,3
42480,59,0.2566658042029999,-0.21337345711266,95.66419982910156,0.02477562075089534,0.08642291070945148,0
43200,60,0.2517648713390149,-0.20523945045553976,104.65510559082031,0.02536097354491681,0.08378866501669917,1
43920,61,0.2469801606194234,-0.20964927100059058,103.40967559814453,0.02646353756329821,0.08558861121742262,1
44640,62,0.24230891591856074,-0.21322571591784556,111.36406707763672,0.025551523426191932,0.08641196178634547,0
